OrderID,OrderDate,CustomerID,ProductID,Quantity,Discount,Sales,Profit,CustomerName,Gender,Age,City,State,JoinDate,ProductName,Category,SubCategory,CostPrice,SellingPrice,Month
1,2025-12-25,958,80,2,20,4257.38,2497.72,Ekaja Dugal,Female,53,Bongaigaon,Mizoram,2024-05-14,Headphones 80,Electronics,Headphones,1412,2660.86,2025-12
2,2025-09-13,6007,485,1,5,7693.79,3299.73,Vritti Bal,Male,54,Jammu,Andhra Pradesh,2022-11-02,Football 485,Sports,Football,4799,8098.73,2025-09
3,2025-09-17,2654,418,5,20,11907.08,7248.85,Nikita Acharya,Female,40,Gaya,Haryana,2021-12-03,Chair 418,Home,Chair,1527,2976.77,2025-09
4,2025-07-12,4593,217,4,10,23065.6,10516.44,Mugdha Purohit,Male,58,Khandwa,Odisha,2021-09-11,Helmet 217,Sports,Helmet,3778,6407.11,2025-07
5,2026-04-20,2969,230,3,5,2021.7,367.11,Abha Raja,Female,53,Jammu,Telangana,2021-07-24,Lamp 230,Home,Lamp,587,709.37,2026-04
6,2024-12-12,3260,103,2,20,8236.61,4549.76,Yahvi Nair,Male,70,Bokaro,Madhya Pradesh,2021-12-21,Fan 103,Home,Fan,2873,5147.88,2024-12
7,2025-11-24,2512,320,2,0,8834.54,3712.54,Oliver Mammen,Female,54,Tiruvottiyur,West Bengal,2024-09-25,Lamp 320,Home,Lamp,2561,4417.27,2025-11
8,2026-03-13,2234,9,2,10,17082.85,9424.94,Quincy Karnik,Male,49,Bijapur,Goa,2025-12-23,Table 9,Home,Table,4778,9490.47,2026-03
9,2026-01-03,6575,294,1,5,2612.8,586.32,Dhruv Narasimhan,Male,19,Mahbubnagar,Tripura,2023-06-12,Shirt 294,Clothing,Shirt,2164,2750.32,2026-01
10,2024-12-17,3350,450,1,5,417.34,151.31,Girik Saran,Female,67,Durgapur,Gujarat,2022-05-24,Chair 450,Home,Chair,288,439.31,2024-12
11,2024-08-29,360,113,2,10,13172.96,5502.62,Rachana Grewal,Male,45,Guwahati,Tripura,2024-01-23,Jacket 113,Clothing,Jacket,4567,7318.31,2024-08
12,2026-01-04,6690,240,4,0,25077.96,5709.96,Omkaar Narayanan,Male,27,Miryalaguda,Himachal Pradesh,2024-07-20,Phone 240,Electronics,Phone,4842,6269.49,2026-01
13,2025-06-26,2013,344,4,15,16865.6,5325.88,Benjamin Guha,Male,59,Aizawl,Odisha,2026-05-29,Football 344,Sports,Football,3629,4960.47,2025-06
14,2025-04-10,5984,478,1,15,3341.91,1553.66,Madhavi Sampath,Male,28,Dhanbad,Gujarat,2022-11-09,Tablet 478,Electronics,Tablet,2378,3931.66,2025-04
15,2026-01-09,6994,73,4,20,15252.61,8557.76,Jagat Mukhopadhyay,Male,24,Vadodara,Karnataka,2024-10-30,Headphones 73,Electronics,Headphones,2627,4766.44,2026-01
16,2026-07-08,9994,178,3,5,19042.79,9053.04,Yash Sastry,Male,22,Miryalaguda,Bihar,2025-06-21,Tablet 178,Electronics,Tablet,3664,6681.68,2026-07
17,2025-04-15,929,89,3,10,22340.42,12369.69,Turvi Mallick,Male,23,Haldia,Telangana,2023-08-25,Gloves 89,Sports,Gloves,4151,8274.23,2025-04
18,2026-04-25,3451,29,1,5,1343.02,476.7,Urishilla Bandi,Male,39,Hubli–Dharwad,Meghalaya,2023-08-01,Jacket 29,Clothing,Jacket,937,1413.7,2026-04
19,2025-07-22,3782,377,5,20,26940.4,14210.5,Harita Sani,Male,24,Gandhinagar,Chhattisgarh,2023-02-12,Jacket 377,Clothing,Jacket,3893,6735.1,2025-07
20,2026-04-24,4233,418,4,5,11311.73,5799.08,Chakradev Suresh,Male,58,Malda,Chhattisgarh,2022-09-05,Chair 418,Home,Chair,1527,2976.77,2026-04
21,2025-09-19,3851,15,2,10,14753.36,7822.62,Amrita Sandal,Male,58,Motihari,Meghalaya,2023-04-27,Phone 15,Electronics,Phone,4285,8196.31,2025-09
22,2025-06-01,2160,24,2,20,3644.22,1379.28,Sudiksha Dugal,Male,43,Mumbai,Uttar Pradesh,2025-11-03,Gloves 24,Sports,Gloves,1588,2277.64,2025-06
23,2026-04-23,4850,235,1,20,5259.01,2845.76,Chatresh Doctor,Female,45,Pune,Sikkim,2022-10-18,Football 235,Sports,Football,3728,6573.76,2026-04
