CustomerID,CustomerName,Gender,Age,City,State,JoinDate
1,Aryan Maharaj,Male,19,Rajahmundry,Chhattisgarh,2022-06-03
2,Pahal Balay,Female,33,Tiruchirappalli,Gujarat,2023-07-12
3,Rushil Saini,Male,26,Sultan Pur Majra,Odisha,2023-12-01
4,Nathaniel Sami,Male,61,Alwar,Chhattisgarh,2023-05-19
5,Harsh Chanda,Male,55,Jalandhar,Kerala,2024-06-22
6,Caleb Sharaf,Female,20,Burhanpur,Assam,2026-03-31
7,Janaki Handa,Male,23,Ranchi,Sikkim,2023-06-28
8,Fariq Kaul,Male,32,Nadiad,Himachal Pradesh,2025-05-28
9,Nicholas Prabhakar,Male,53,Bhagalpur,Sikkim,2023-10-27
10,Onveer Walla,Male,63,Ujjain,Manipur,2024-10-10
11,Theodore Nair,Female,32,Berhampur,Uttarakhand,2021-10-27
12,Nandini Loyal,Female,55,Rajpur Sonarpur,Odisha,2024-03-23
13,Xalak Randhawa,Female,69,Asansol,Himachal Pradesh,2022-09-26
14,Adya Sangha,Male,66,Mirzapur,Haryana,2022-09-22
15,Gavin Batta,Male,62,Jamnagar,Rajasthan,2022-11-29
16,Devansh Rajan,Female,39,Kavali,Manipur,2026-01-18
17,Advay Contractor,Female,27,Mau,Bihar,2024-01-17
18,Nakul Setty,Male,66,Firozabad,Mizoram,2023-01-26
19,Chanchal Tripathi,Female,24,Jamnagar,Kerala,2022-12-03
20,Ekiya Suresh,Male,42,Gorakhpur,Kerala,2024-03-01
21,Dalbir Khosla,Male,40,Guwahati,Telangana,2025-09-06
22,Jeremiah Dave,Female,56,Jamalpur,Goa,2023-10-21
23,Siddharth Zacharia,Female,69,Bijapur,Madhya Pradesh,2024-09-22
24,Zansi Seth,Male,64,Shahjahanpur,Haryana,2022-02-03
25,Ansh Karpe,Female,52,Chennai,Assam,2022-01-18
26,Ekansh Balay,Male,42,Madurai,Mizoram,2023-07-29
27,Vedika Kala,Male,53,Aurangabad,Odisha,2025-07-27
28,Urvashi Ray,Female,58,Bareilly,Bihar,2025-03-20
29,Pallavi Roy,Female,54,Meerut,Sikkim,2022-05-21
30,Neha Nori,Male,63,Kulti,Gujarat,2023-03-02
31,Logan Sami,Male,20,Alwar,Manipur,2023-09-04
32,Saanvi Chaudhari,Male,67,Panvel,Uttarakhand,2021-09-03
33,Warjas Ganesan,Female,23,Shivpuri,Meghalaya,2023-05-15
34,Daniel Gala,Male,24,Delhi,Madhya Pradesh,2023-10-21
35,Bhavika Sampath,Female,35,Bhatpara,Gujarat,2024-01-27
36,Dalbir Bhat,Female,58,Howrah,Arunachal Pradesh,2026-07-08
37,Yadavi Wali,Female,28,Howrah,Mizoram,2022-03-25
38,Ekapad Bir,Female,40,Sambhal,Bihar,2026-05-24
39,Balveer Bumb,Male,60,Ballia,Odisha,2025-12-30
40,Advika Jayaraman,Female,62,Mathura,Himachal Pradesh,2024-11-30
41,Charita Shankar,Male,56,Srinagar,Andhra Pradesh,2025-06-12
42,Ethan Yogi,Male,52,Guna,Himachal Pradesh,2022-09-04
43,Ekapad Konda,Male,28,Anantapuram,Goa,2025-04-11
44,Abhiram Mistry,Female,42,Guntur,Himachal Pradesh,2022-07-13
45,Nachiket Magar,Female,58,Mahbubnagar,Gujarat,2024-06-19
46,Aishani Tiwari,Male,61,Chandrapur,West Bengal,2021-12-24
47,Pallavi Malhotra,Female,67,Delhi,Karnataka,2022-08-30
48,Neel Sathe,Male,32,Kishanganj,Andhra Pradesh,2022-07-02
49,Manthan Banik,Male,69,Ballia,Nagaland,2022-10-23
50,Joshua Barman,Female,43,Bharatpur,Uttar Pradesh,2021-11-20
51,Shivansh Krish,Female,22,Raichur,Tripura,2026-04-24
52,Mohammed Khalsa,Male,54,Belgaum,Maharashtra,2021-10-05
53,Gaurangi Sabharwal,Female,31,Shimoga,Goa,2022-06-20
54,Balvan Singhal,Female,43,Kollam,Uttarakhand,2025-06-19
55,Dalaja Kari,Female,27,Nagpur,Sikkim,2023-03-12
56,Falguni Mallick,Female,26,Alwar,Kerala,2025-11-18
57,Garima Bala,Male,65,Bhilwara,Goa,2026-06-27
58,Balvan Chopra,Female,65,Hapur,Telangana,2024-03-20
59,Yasti D’Alia,Female,55,Gangtok,Gujarat,2023-09-19
60,Rajata Agarwal,Female,41,Bharatpur,Maharashtra,2022-02-22
